lags_to_use,fuzzy_sets,fuzzy_score,average_score
17,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4197,0.435
18,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4141,0.4364
19,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4294,0.4408
20,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4354,0.4415
21,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4366,0.4369
22,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4349,0.4348
23,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4374,0.4327
24,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4336,0.43
25,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4263,0.429
26,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4207,0.4292
27,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4197,0.4239
28,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4181,0.4184
29,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4162,0.4182
